Cover.Site,Cover.Community,Cover.Plot.ID,Cover.Sub.Plot.Number,Cover.Strata,Cover.Species,Cover.Percent
LS,MAR,3,5,u,BARE,80
LS,MAR,2,1,u,BARE,45
LS,MAR,2,2,u,BARE,85
LS,MAR,2,3,u,BARE,45
LS,MAR,2,4,u,BARE,40
LS,MAR,2,5,u,BARE,10
LS,FOR,5,2,u,BARE,20
LS,FOR,5,4,u,BARE,5
LS,FOR,5,5,u,BARE,15
LS,FOR,7,1,u,CLJA,89
LS,FOR,7,2,u,CLJA,25
LS,FOR,7,3,u,CLJA,95
LS,FOR,7,4,u,CLJA,69
LS,FOR,7,5,u,CLJA,70
LS,FOR,1,1,u,CLJA,15
LS,FOR,1,2,u,CLJA,70
LS,FOR,1,3,u,CLJA,15
LS,FOR,1,4,u,CLJA,5
LS,FOR,1,5,u,CLJA,90
LS,FOR,4,1,u,CLJA,80
LS,FOR,4,2,u,CLJA,80
LS,FOR,4,3,u,CLJA,45
LS,FOR,4,4,u,CLJA,30
LS,FOR,4,5,u,CLJA,65
LS,FOR,3,1,u,CLJA,35
LS,FOR,3,2,u,CLJA,70
LS,FOR,3,3,u,CLJA,75
LS,FOR,3,4,u,CLJA,80
LS,FOR,3,5,u,CLJA,75
LS,FOR,2,1,u,CLJA,75
LS,FOR,2,2,u,CLJA,40
LS,FOR,2,3,u,CLJA,70
LS,FOR,2,4,u,CLJA,90
LS,FOR,2,5,u,CLJA,75
LS,FOR,6,1,u,CLJA,50
LS,FOR,6,2,u,CLJA,95
LS,FOR,6,3,u,CLJA,30
LS,FOR,6,5,u,CLJA,15
LS,TRA,1,5,u,CLJA,15
LS,FOR,7,4,u,DEAD,10
LS,FOR,7,5,u,DEAD,5
LS,FOR,1,1,u,DEAD,5
LS,FOR,1,2,u,DEAD,15
LS,FOR,1,3,u,DEAD,5
LS,FOR,4,1,u,DEAD,5
LS,FOR,4,2,u,DEAD,5
LS,FOR,4,3,u,DEAD,5
LS,FOR,4,4,u,DEAD,10
LS,FOR,4,5,u,DEAD,5
LS,FOR,2,1,u,DEAD,5
LS,FOR,2,2,u,DEAD,10
LS,FOR,2,5,u,DEAD,5
LS,FOR,6,1,u,DEAD,5
LS,FOR,6,3,u,DEAD,10
LS,FOR,6,4,u,DEAD,5
LS,FOR,6,5,u,DEAD,5
LS,MAR,5,2,u,DEAD,5
LS,MAR,5,4,u,DEAD,5
LS,MAR,5,5,u,DEAD,10
LS,MAR,1,2,u,DEAD,5
LS,MAR,6,1,u,DEAD,8
LS,MAR,6,2,u,DEAD,10
LS,MAR,6,3,u,DEAD,5
LS,MAR,6,4,u,DEAD,25
LS,MAR,6,5,u,DEAD,30
LS,MAR,7,2,u,DEAD,20
LS,MAR,7,3,u,DEAD,40
LS,MAR,7,4,u,DEAD,5
LS,MAR,7,5,u,DEAD,15
LS,MAR,4,1,u,DEAD,10
LS,MAR,4,2,u,DEAD,10
LS,MAR,4,3,u,DEAD,5
LS,MAR,4,4,u,DEAD,30
LS,TRA,3,1,u,DEAD,25
LS,TRA,3,2,u,DEAD,25
LS,TRA,3,5,u,DEAD,5
LS,TRA,5,1,u,DEAD,15
LS,TRA,5,2,u,DEAD,25
LS,TRA,1,1,u,DEAD,10
LS,TRA,1,2,u,DEAD,20
LS,TRA,1,3,u,DEAD,10
LS,TRA,1,4,u,DEAD,10
LS,TRA,1,5,u,DEAD,20
LS,TRA,7,1,u,DEAD,10
LS,TRA,7,2,u,DEAD,30
LS,TRA,7,3,u,DEAD,5
LS,TRA,7,4,u,DEAD,5
LS,TRA,7,5,u,DEAD,5
LS,TRA,4,1,u,DEAD,40
LS,TRA,4,2,u,DEAD,10
LS,TRA,4,3,u,DEAD,10
LS,TRA,4,4,u,DEAD,30
LS,TRA,4,5,u,DEAD,30
LS,TRA,2,2,u,DEAD,20
LS,TRA,2,3,u,DEAD,20
LS,TRA,2,4,u,DEAD,10
LS,TRA,2,5,u,DEAD,25
LS,TRA,6,1,u,DEAD,10
LS,TRA,6,2,u,DEAD,3
LS,TRA,6,4,u,DEAD,20
LS,TRA,6,5,u,DEAD,20
LS,MAR,3,1,u,DEAD,10
LS,MAR,3,2,u,DEAD,30
LS,MAR,3,3,u,DEAD,15
LS,MAR,3,4,u,DEAD,20
LS,MAR,3,5,u,DEAD,10
LS,MAR,2,1,u,DEAD,20
LS,MAR,2,2,u,DEAD,5
LS,MAR,2,5,u,DEAD,20
LS,FOR,5,1,u,DEAD,20
LS,FOR,5,2,u,DEAD,1
LS,FOR,5,3,u,DEAD,5
LS,FOR,5,5,u,DEAD,20
LS,MAR,1,5,u,DEAD,4
LS,FOR,7,3,u,DISP,5
LS,FOR,7,5,u,DISP,1
LS,FOR,1,1,u,DISP,10
LS,FOR,1,3,u,DISP,45
LS,FOR,1,4,u,DISP,5
LS,FOR,6,1,u,DISP,1
LS,FOR,6,4,u,DISP,10
LS,MAR,5,2,u,DISP,5
LS,MAR,5,5,u,DISP,25
LS,MAR,1,2,u,DISP,5
LS,MAR,1,5,u,DISP,1
LS,MAR,6,1,u,DISP,1
LS,MAR,6,2,u,DISP,20
LS,MAR,6,3,u,DISP,15
LS,MAR,6,4,u,DISP,40
LS,MAR,6,5,u,DISP,4
LS,MAR,7,1,u,DISP,55
LS,MAR,7,2,u,DISP,50
LS,MAR,7,3,u,DISP,5
LS,MAR,7,4,u,DISP,3
LS,MAR,7,5,u,DISP,5
LS,MAR,4,1,u,DISP,10
LS,MAR,4,2,u,DISP,5
LS,MAR,4,3,u,DISP,4
LS,MAR,4,4,u,DISP,50
LS,TRA,3,1,u,DISP,30
LS,TRA,3,3,u,DISP,2
LS,TRA,3,4,u,DISP,30
LS,TRA,3,5,u,DISP,40
LS,TRA,5,1,u,DISP,55
LS,TRA,5,2,u,DISP,50
LS,TRA,5,3,u,DISP,5
LS,TRA,5,4,u,DISP,10
LS,TRA,5,5,u,DISP,10
LS,TRA,1,1,u,DISP,10
LS,TRA,1,2,u,DISP,50
LS,TRA,1,3,u,DISP,40
LS,TRA,1,4,u,DISP,80
LS,TRA,1,5,u,DISP,20
LS,TRA,7,1,u,DISP,75
LS,TRA,7,3,u,DISP,10
LS,TRA,7,4,u,DISP,20
LS,TRA,7,5,u,DISP,60
LS,TRA,4,5,u,DISP,1
LS,TRA,2,1,u,DISP,50
LS,TRA,2,2,u,DISP,70
LS,TRA,2,3,u,DISP,60
LS,TRA,2,4,u,DISP,10
LS,TRA,2,5,u,DISP,30
LS,TRA,6,1,u,DISP,5
LS,TRA,6,2,u,DISP,1
LS,TRA,6,5,u,DISP,40
LS,MAR,3,1,u,DISP,9
LS,MAR,3,4,u,DISP,35
LS,MAR,3,5,u,DISP,5
LS,MAR,2,1,u,DISP,25
LS,MAR,2,2,u,DISP,5
LS,MAR,2,4,u,DISP,50
LS,MAR,2,5,u,DISP,50
LS,FOR,5,1,u,DISP,50
LS,FOR,5,2,u,DISP,60
LS,FOR,5,3,u,DISP,35
LS,FOR,5,4,u,DISP,75
LS,FOR,5,5,u,DISP,30
LS,TRA,4,3,u,ELEO,10
LS,TRA,3,1,u,ELEO,30
LS,TRA,3,2,u,ELEO,15
LS,TRA,3,3,u,ELEO,40
LS,TRA,3,4,u,ELEO,35
LS,TRA,3,5,u,ELEO,3
LS,TRA,5,1,u,ELEO,15
LS,TRA,7,2,u,ELEO,70
LS,TRA,7,3,u,ELEO,25
LS,TRA,4,1,u,ELEO,30
LS,TRA,4,2,u,ELEO,10
LS,TRA,4,4,u,ELEO,10
LS,TRA,4,5,u,ELEO,45
LS,TRA,2,4,u,ELEO,10
LS,TRA,6,1,u,ELEO,10
LS,TRA,6,2,u,ELEO,10
LS,TRA,6,3,u,ELEO,10
LS,MAR,3,2,u,ELEO,30
LS,MAR,3,5,u,ELEO,5
LS,FOR,6,2,u,EUPA,5
LS,FOR,5,1,u,EUPA,5
LS,FOR,7,2,u,HYDR,5
LS,FOR,7,5,u,HYDR,1
LS,FOR,4,5,u,HYDR,5
LS,FOR,3,2,u,HYDR,5
LS,FOR,5,3,u,ILGL,1
LS,MAR,5,1,u,JURO,100
LS,TRA,7,5,u,JURO,15
LS,TRA,2,1,u,JURO,10
LS,FOR,7,2,u,KOVI,1
LS,FOR,4,3,u,KOVI,5
LS,FOR,3,2,u,KOVI,5
LS,FOR,2,1,u,KOVI,5
LS,FOR,2,2,u,KOVI,5
LS,FOR,2,3,u,KOVI,10
LS,FOR,2,5,u,KOVI,5
LS,FOR,6,2,u,KOVI,5
LS,FOR,4,4,u,MYCE,10
LS,FOR,3,1,u,MYCE,5
LS,FOR,2,4,u,MYCE,10
LS,FOR,6,1,u,MYCE,10
LS,FOR,6,3,u,MYCE,10
LS,FOR,6,5,u,MYCE,10
LS,FOR,5,5,u,MYCE,5
LS,FOR,2,5,u,OSRE,5
LS,FOR,4,5,u,PEPA,5
LS,FOR,2,3,u,PEPA,5
LS,FOR,2,5,u,PEPA,5
LS,FOR,5,3,u,PEPA,10
LS,FOR,7,4,u,PHAU,1
LS,FOR,6,5,u,PHAU,25
LS,FOR,5,5,u,PHAU,5
LS,FOR,4,3,u,RUBUS,20
LS,FOR,3,3,u,RUBUS,5
LS,FOR,6,2,u,RUBUS,10
LS,FOR,5,3,u,RUBUS,1
LS,FOR,1,4,u,SCAM,75
LS,MAR,5,3,u,SCAM,90
LS,MAR,5,4,u,SCAM,90
LS,MAR,5,5,u,SCAM,30
LS,MAR,1,1,u,SCAM,5
LS,MAR,1,2,u,SCAM,5
LS,MAR,1,3,u,SCAM,5
LS,MAR,1,4,u,SCAM,5
LS,MAR,1,5,u,SCAM,5
LS,MAR,6,1,u,SCAM,1
LS,MAR,6,4,u,SCAM,5
LS,MAR,6,5,u,SCAM,1
LS,MAR,7,1,u,SCAM,5
LS,MAR,7,2,u,SCAM,1
LS,MAR,7,3,u,SCAM,5
LS,MAR,7,4,u,SCAM,2
LS,MAR,4,1,u,SCAM,20
LS,MAR,4,4,u,SCAM,20
LS,MAR,4,5,u,SCAM,60
LS,TRA,3,1,u,SCAM,15
LS,TRA,3,2,u,SCAM,10
LS,TRA,3,3,u,SCAM,3
LS,TRA,3,4,u,SCAM,30
LS,TRA,3,5,u,SCAM,10
LS,TRA,5,1,u,SCAM,10
LS,TRA,5,2,u,SCAM,20
LS,TRA,5,3,u,SCAM,10
LS,TRA,5,4,u,SCAM,10
LS,TRA,5,5,u,SCAM,20
LS,TRA,1,1,u,SCAM,5
LS,TRA,1,2,u,SCAM,10
LS,TRA,1,3,u,SCAM,5
LS,TRA,1,4,u,SCAM,15
LS,TRA,1,5,u,SCAM,15
LS,TRA,7,1,u,SCAM,4
LS,TRA,7,2,u,SCAM,5
LS,TRA,7,3,u,SCAM,10
LS,TRA,7,4,u,SCAM,75
LS,TRA,7,5,u,SCAM,5
LS,TRA,4,5,u,SCAM,4
LS,TRA,2,1,u,SCAM,30
LS,TRA,2,2,u,SCAM,5
LS,TRA,2,3,u,SCAM,10
LS,TRA,2,4,u,SCAM,10
LS,TRA,6,2,u,SCAM,1
LS,TRA,6,4,u,SCAM,20
LS,TRA,6,5,u,SCAM,30
LS,MAR,3,1,u,SCAM,1
LS,MAR,3,3,u,SCAM,5
LS,MAR,3,4,u,SCAM,35
LS,MAR,2,1,u,SCAM,5
LS,MAR,2,3,u,SCAM,5
LS,MAR,2,4,u,SCAM,5
LS,MAR,2,5,u,SCAM,30
LS,TRA,6,4,u,DISP,50
LS,TRA,3,2,u,DISP,15
LS,FOR,7,1,u,SOLI,5
LS,FOR,7,2,u,SOLI,10
LS,FOR,7,4,u,SOLI,5
LS,FOR,7,5,u,SOLI,20
LS,FOR,1,1,u,SOLI,5
LS,FOR,1,2,u,SOLI,15
LS,FOR,1,3,u,SOLI,5
LS,FOR,1,5,u,SOLI,5
LS,FOR,4,1,u,SOLI,25
LS,FOR,4,2,u,SOLI,25
LS,FOR,4,4,u,SOLI,45
LS,FOR,4,5,u,SOLI,5
LS,FOR,3,1,u,SOLI,15
LS,FOR,3,2,u,SOLI,10
LS,FOR,3,3,u,SOLI,25
LS,FOR,3,4,u,SOLI,5
LS,FOR,3,5,u,SOLI,5
LS,FOR,2,1,u,SOLI,5
LS,FOR,2,3,u,SOLI,5
LS,FOR,6,4,u,SOLI,5
LS,TRA,2,1,u,SOLI,5
LS,FOR,5,1,u,SOLI,25
LS,FOR,5,2,u,SOLI,1
LS,FOR,5,3,u,SOLI,5
LS,FOR,5,4,u,SOLI,5
LS,FOR,5,5,u,SOLI,5
LS,TRA,7,1,u,SPAL,1
LS,TRA,7,5,u,SPAL,10
LS,TRA,2,5,u,SPAL,30
LS,TRA,6,1,u,SPAL,20
LS,MAR,2,1,u,SPAL,5
LS,MAR,2,2,u,SPAL,5
LS,MAR,2,4,u,SPAL,5
LS,MAR,2,5,u,SPAL,10
LS,FOR,1,1,u,SPPA,1
LS,FOR,1,3,u,SPPA,10
LS,MAR,4,3,u,SPPA,1
LS,TRA,3,5,u,SPPA,5
LS,TRA,5,2,u,SPPA,5
LS,TRA,5,3,u,SPPA,55
LS,TRA,5,4,u,SPPA,80
LS,TRA,5,5,u,SPPA,70
LS,TRA,1,1,u,SPPA,65
LS,MAR,2,3,u,SPPA,50
LS,FOR,4,3,u,TORA,10
LS,FOR,4,5,u,TORA,10
LS,FOR,3,2,u,TORA,5
LS,FOR,2,2,u,TORA,5
LS,FOR,2,3,u,TORA,5
LS,FOR,6,2,u,TORA,10
LS,FOR,5,3,u,TORA,10
LS,FOR,5,4,u,TORA,5
LS,FOR,5,5,u,TORA,5
LS,FOR,7,1,u,TYPH,1
LS,FOR,5,2,u,TYPH,5
LS,FOR,2,5,u,WOVI,5
