Cover.Site,Cover.Community,Cover.Plot.ID,Cover.Sub.Plot.Number,Cover.Strata,Cover.Species,Cover.Percent,
GR,Forest,13,4,O,PEPA,30,
GR,Forest,13,5,U,WOVI,70,
GR,Forest,13,5,U,MYCE,5,
GR,Forest,13,5,U,ACRU,5,
GR,Forest,13,5,U,DEAD,10,
GR,Forest,13,5,U,BARE,20,
GR,Forest,13,5,O,ACRU,10,
GR,Forest,13,5,O,PITA,30,
GR,Forest,12,1,U,WOVI,60,
GR,Forest,12,1,U,DEAD,20,
GR,Forest,12,1,U,MYCE,10,
GR,Forest,12,1,U,SMILAX,5,
GR,Forest,12,1,U,PISE,5,
GR,Forest,12,1,U,ACRU,5,
GR,Forest,12,1,U,BARE,25,
GR,Forest,12,1,O,PITA,50,
GR,Forest,12,2,U,OSRE,50,
GR,Forest,12,2,U,WOVI,15,
GR,Forest,12,2,U,MYCE,5,
GR,Forest,12,2,U,FERN,5,
GR,Forest,12,2,U,ACRU,5,
GR,Forest,12,2,U,ACRU,5,
GR,Forest,12,2,U,DEAD,10,
GR,Forest,12,3,U,OSRE,50,
GR,Forest,12,3,U,CLJA,50,
GR,Forest,12,3,U,WOVI,5,
GR,Forest,12,3,U,ILGL,5,
GR,Forest,12,3,U,TORA,5,
GR,Forest,12,3,U,DEAD,10,
GR,Forest,12,4,U,OSRE,10,
GR,Forest,12,4,U,WOVI,60,
GR,Forest,12,4,U,PINE,5,
GR,Forest,12,4,U,RUAR,5,
GR,Forest,12,4,U,BARE,30,
GR,Forest,12,4,O,PITA,10,
GR,Forest,12,5,U,WOVI,70,
GR,Forest,12,5,U,PEPA,5,
GR,Forest,12,5,U,ACRU,5,
GR,Forest,12,5,U,PINE,5,
GR,Forest,12,5,U,MYCE,5,
GR,Forest,12,5,U,BARE,20,
GR,Forest,12,5,U,DEAD,5,
GR,Forest,12,5,O,ACRU,10,
GR,Forest,10,1,U,PEPA,30,
GR,Forest,10,1,U,ILGL,10,
GR,Forest,10,1,U,MYCE,10,
GR,Forest,10,1,U,WOVI,15,
GR,Forest,10,1,U,PINE,5,
GR,Forest,10,1,U,SMILAX,5,
GR,Forest,10,1,U,TORA,5,
GR,Forest,10,1,U,DEAD,30,
GR,Forest,10,1,U,BARE,20,
GR,Forest,10,2,U,WOVI,15,
GR,Forest,10,2,U,OSRE,30,
GR,Forest,10,2,U,PEPA,20,
GR,Forest,10,2,U,CLJA,15,
GR,Forest,10,2,U,DEAD,15,
GR,Forest,10,2,U,BARE,15,
GR,Forest,10,2,U,WATER,5,
GR,Forest,10,3,U,WOVI,40,
GR,Forest,10,3,U,MYCE,5,
GR,Forest,10,3,U,PEPA,10,
GR,Forest,10,3,U,UNKN 1,5,Ilex? Dentate. Check photo
GR,Forest,10,3,U,DEAD,40,
GR,Forest,10,3,U,BARE,20,
GR,Forest,10,4,U,PEPA,25,
GR,Forest,10,4,U,CLJA,15,
GR,Forest,10,4,U,MYCE,15,
GR,Forest,10,4,U,DEAD,15,
GR,Forest,10,4,U,BARE,15,
GR,Forest,10,4,U,WATER,40,
GR,Forest,10,4,U,TORA,5,
GR,Forest,10,5,U,LYLU,10,
GR,Forest,10,5,U,SMILAX,10,
GR,Forest,10,5,U,WOVI,30,
GR,Forest,10,5,U,DEAD,30,
GR,Forest,10,5,U,BARE,30,
GR,Marsh,1,1,U,PAAU,5,
GR,Marsh,1,1,U,DEAD,40,
GR,Marsh,1,1,U,BARE,5,
GR,Marsh,1,1,U,WATER,50,
GR,Marsh,1,2,U,DEAD,5,
GR,Marsh,1,2,U,BARE,5,
GR,Marsh,1,2,U,WATER,90,
GR,Marsh,1,3,U,CLJA,10,
GR,Marsh,1,3,U,PHAU,5,
GR,Marsh,1,3,U,SPPA,30,
GR,Marsh,1,3,U,DEAD,30,
GR,Marsh,1,3,U,WATER,20,
GR,Marsh,1,4,U,DEAD,5,
GR,Marsh,1,4,U,WATER,95,
GR,Marsh,1,5,U,PHAU,5,
GR,Marsh,1,5,U,CLJA,30,
GR,Marsh,1,5,U,DEAD,25,
GR,Marsh,1,5,U,WATER,40,
GR,Marsh,2,1,U,JURO,70,
GR,Marsh,2,1,U,DEAD,20,
GR,Marsh,2,1,U,WATER,10,
GR,Marsh,2,2,U,JURO,10,
GR,Marsh,2,2,U,CLJA,70,
GR,Marsh,2,2,U,DEAD,20,
GR,Marsh,2,2,U,WATER,10,
GR,Marsh,2,3,U,DISP,5,
GR,Marsh,2,3,U,PHAU,5,
GR,Marsh,2,3,U,TYPHA,10,
GR,Marsh,2,3,U,DEAD,30,
GR,Marsh,2,3,U,WATER,70,
GR,Marsh,2,4,U,PHAU,5,
GR,Marsh,2,4,U,TYPHA,15,
GR,Marsh,2,4,U,DEAD,20,
GR,Marsh,2,4,U,WATER,60,
GR,Marsh,2,5,U,JURO,5,
GR,Marsh,2,5,U,TYPHA,15,
GR,Marsh,2,5,U,DEAD,15,
GR,Marsh,2,5,U,WATER,80,
GR,Marsh,3,1,U,PHAU,5,
GR,Marsh,3,1,U,CLJA,5,
GR,Marsh,3,1,U,DEAD,35,
GR,Marsh,3,1,U,WATER,75,
GR,Marsh,3,2,U,PHAU,15,
GR,Marsh,3,2,U,DEAD,30,
GR,Marsh,3,2,U,WATER,85,
GR,Marsh,3,3,U,PHAU,10,
GR,Marsh,3,3,U,CLJA,5,
GR,Marsh,3,3,U,DEAD,20,
GR,Marsh,3,3,U,WATER,75,
GR,Marsh,3,4,U,JURO,50,
GR,Marsh,3,4,U,DEAD,30,
GR,Marsh,3,4,U,WATER,30,
GR,Marsh,3,5,U,CLJA,10,
GR,Marsh,3,5,U,DEAD,25,
GR,Marsh,3,5,U,WATER,70,
GR,Marsh,7,1,U,CLJA,5,
GR,Marsh,7,1,U,DEAD,80,
GR,Marsh,7,1,U,WATER,40,
GR,Marsh,7,2,U,WATER,100,
GR,Marsh,7,2,U,DEAD,5,
GR,Marsh,7,3,U,CLJA,5,
GR,Marsh,7,3,U,DEAD,20,
GR,Marsh,7,3,U,WATER,80,
GR,Marsh,7,4,U,PHAU,5,
GR,Marsh,7,4,U,DEAD,10,
GR,Marsh,7,4,U,WATER,90,
GR,Marsh,7,5,U,CLJA,5,
GR,Marsh,7,5,U,PHAU,5,
GR,Marsh,7,5,U,DEAD,20,
GR,Marsh,7,5,U,WATER,85,
GR,Marsh,4,1,U,PHAU,20,
GR,Marsh,4,1,U,DEAD,15,
GR,Marsh,4,1,U,WATER,80,
GR,Marsh,4,2,U,PHAU,5,
GR,Marsh,4,2,U,DEAD,15,
GR,Marsh,4,2,U,WATER,80,
GR,Marsh,4,3,U,PHAU,10,
GR,Marsh,4,3,U,DEAD,20,
GR,Marsh,4,3,U,WATER,90,
GR,Marsh,4,4,U,PHAU,5,
GR,Marsh,4,4,U,CLJA,5,
GR,Marsh,4,4,U,DEAD,30,
GR,Marsh,4,4,U,WATER,75,
GR,Marsh,4,5,U,PHAU,35,
GR,Marsh,4,5,U,DEAD,25,
GR,Marsh,4,5,U,WATER,50,
GR,Marsh,6,1,U,PHAU,5,
GR,Marsh,6,1,U,DEAD,15,
GR,Marsh,6,1,U,WATER,95,
GR,Marsh,6,2,U,TORA,5,
GR,Marsh,6,2,U,GRASS,5,
GR,Marsh,6,2,U,PHAU,5,
GR,Marsh,6,2,U,DEAD,20,
GR,Marsh,6,2,U,WATER,80,
GR,Marsh,6,3,U,PHAU,5,
GR,Marsh,6,3,U,DEAD,30,
GR,Marsh,6,3,U,WATER,75,
GR,Marsh,6,4,U,PHAU,5,
GR,Marsh,6,4,U,CLJA,10,
GR,Marsh,6,4,U,DEAD,35,
GR,Marsh,6,4,U,WATER,60,
GR,Marsh,6,5,U,DEAD,15,
GR,Marsh,6,5,U,WATER,95,
GR,Transition,5,1,U,UNKN 1,10,
GR,Transition,5,1,U,PHAU,5,
GR,Transition,5,1,U,DEAD,30,
GR,Transition,5,1,U,WATER,70,
GR,Transition,5,2,U,UNKN 1,5,
GR,Transition,5,2,U,PHAU,15,
GR,Transition,5,2,U,TORA,5,
GR,Transition,5,2,U,DEAD,30,
GR,Transition,5,2,U,WATER,55,
GR,Transition,5,3,U,UNKN 1,10,
GR,Transition,5,3,U,DEAD,40,
GR,Transition,5,3,U,WATER,50,
GR,Transition,5,4,U,UNKN 1,15,
GR,Transition,5,4,U,PHAU,5,
GR,Transition,5,4,U,MICR,10,
GR,Transition,5,4,U,HYDR,5,
GR,Transition,5,4,U,DEAD,20,
GR,Transition,5,4,U,WATER,60,
GR,Transition,5,5,U,UNKN 1,5,
GR,Transition,5,5,U,PHAU,5,
GR,Transition,5,5,U,DEAD,15,
GR,Transition,5,5,U,WATER,90,
GR,Marsh,5,1,U,TORA,5,
GR,Marsh,5,1,U,PHAU,15,
GR,Marsh,5,1,U,BARE,5,
GR,Marsh,5,1,U,DEAD,15,
GR,Marsh,5,1,U,WATER,80,
GR,Marsh,5,2,U,PHAU,5,
GR,Marsh,5,2,U,CLJA,60,
GR,Marsh,5,2,U,DEAD,25,
GR,Marsh,5,2,U,WATER,10,
GR,Marsh,5,3,U,PHAU,5,
GR,Marsh,5,3,U,DEAD,15,
GR,Marsh,5,3,U,WATER,95,
GR,Marsh,5,4,U,PHAU,20,
GR,Marsh,5,4,U,DEAD,15,
GR,Marsh,5,4,U,WATER,90,
GR,Marsh,5,5,U,PHAU,10,
GR,Marsh,5,5,U,CLJA,15,
GR,Marsh,5,5,U,DEAD,15,
GR,Marsh,5,5,U,WATER,70,
GR,Transition,3,1,U,PHAU,20,
GR,Transition,3,1,U,TORA,10,
GR,Transition,3,1,U,CLJA,10,
GR,Transition,3,1,U,DEAD,30,
GR,Transition,3,1,U,BARE,30,
GR,Transition,3,1,U,WATER,25,
GR,Transition,3,2,U,PEPA,5,
GR,Transition,3,2,U,TORA,15,
GR,Transition,3,2,U,PHAU,5,
GR,Transition,3,2,U,CLJA,60,
GR,Transition,3,2,U,BARE,15,
GR,Transition,3,2,U,DEAD,20,
GR,Transition,3,3,U,PHAU,5,
GR,Transition,3,3,U,TORA,15,
GR,Transition,3,3,U,CLJA,85,
GR,Transition,3,3,U,DEAD,25,
GR,Transition,3,4,U,TORA,40,
GR,Transition,3,4,U,PHAU,30,
GR,Transition,3,4,U,BARE,55,
GR,Transition,3,4,U,DEAD,15,
GR,Transition,3,5,U,PHAU,40,
GR,Transition,3,5,U,CLJA,20,
GR,Transition,3,5,U,WATER,20,
GR,Transition,3,5,U,BARE,15,
GR,Transition,3,5,U,DEAD,15,
GR,Transition,4,1,U,CLJA,25,
GR,Transition,4,1,U,DEAD,50,
GR,Transition,4,1,U,WATER,25,
GR,Transition,4,2,U,TORA,15,
GR,Transition,4,2,U,CLJA,20,
GR,Transition,4,2,U,DEAD,75,
GR,Transition,4,2,U,WATER,10,
GR,Transition,4,3,U,OSRE,5,
GR,Transition,4,3,U,BARE,10,
GR,Transition,4,3,U,CLJA,15,
GR,Transition,4,3,U,DEAD,80,
GR,Transition,4,4,U,WOVI,5,
GR,Transition,4,4,U,OSRE,5,
GR,Transition,4,4,U,TORA,5,
GR,Transition,4,4,U,PHAU,30,
GR,Transition,4,4,U,DEAD,5,
GR,Transition,4,4,U,BARE,60,
GR,Transition,4,5,U,PEPA,5,
GR,Transition,4,5,U,OSRE,5,
GR,Transition,4,5,U,CLJA,25,
GR,Transition,4,5,U,DEAD,70,
GR,Transition,4,5,U,BARE,5,
GR,Transition,6,1,U,PHAU,20,
GR,Transition,6,1,U,DEAD,35,
GR,Transition,6,1,U,BARE,40,
GR,Transition,6,1,U,WATER,10,
GR,Transition,6,1,U,TORA,5,
GR,Transition,6,2,U,PHAU,30,
GR,Transition,6,2,U,CLJA,5,
GR,Transition,6,2,U,DEAD,30,
GR,Transition,6,2,U,BARE,25,
GR,Transition,6,2,U,WATER,15,
GR,Transition,6,3,U,TORA,5,
GR,Transition,6,3,U,UNKN GRASS,15,
GR,Transition,6,3,U,PHAU,10,
GR,Transition,6,3,U,DEAD,30,
GR,Transition,6,3,U,BARE,35,
GR,Transition,6,3,U,PINE,5,
GR,Transition,6,4,U,PHAU,20,
GR,Transition,6,4,U,CLJA,70,
GR,Transition,6,4,U,DEAD,25,
GR,Transition,6,5,U,PHAU,30,
GR,Transition,6,5,U,TORA,5,
GR,Transition,6,5,U,UNKN GRASS,5,
GR,Transition,6,5,U,CLJA,5,
GR,Transition,6,5,U,DEAD,30,
GR,Transition,6,5,U,BARE,30,
GR,Transition,6,5,U,WATER,5,
GR,Transition,7,1,U,PHAU,5,
GR,Transition,7,1,U,TORA,15,
GR,Transition,7,1,U,ACRU,10,
GR,Transition,7,1,U,CLJA,30,
GR,Transition,7,1,U,DEAD,40,
GR,Transition,7,1,U,MYCE,5,
GR,Transition,7,1,U,BARE,10,
GR,Transition,7,2,U,TORA,5,
GR,Transition,7,2,U,CLJA,40,
GR,Transition,7,2,U,DEAD,50,
GR,Transition,7,2,U,BARE,5,
GR,Transition,7,2,O,PITA,10,
GR,Transition,7,3,U,LYLU,20,
GR,Transition,7,3,U,ILGL,5,
GR,Transition,7,3,U,DEAD,10,
GR,Transition,7,3,U,SMILAX,5,
GR,Transition,7,3,U,GESE,5,
GR,Transition,7,3,U,BARE,80,
GR,Transition,7,3,U,PEPA,5,
GR,Transition,7,4,U,CLJA,15,
GR,Transition,7,4,U,DEAD,65,
GR,Transition,7,4,U,BARE,10,
GR,Transition,7,4,U,WATER,10,
GR,Transition,7,5,U,TORA,15,
GR,Transition,7,5,U,CLJA,20,
GR,Transition,7,5,U,DEAD,70,
GR,Transition,10,1,U,CLJA,20,
GR,Transition,10,1,U,WOVI,10,
GR,Transition,10,1,U,OSRE,20,
GR,Transition,10,1,U,TORA,10,
GR,Transition,10,1,U,DEAD,35,
GR,Transition,10,1,U,BARE,15,
GR,Transition,10,2,U,WOVI,5,
GR,Transition,10,2,U,MICR,5,
GR,Transition,10,2,U,CLJA,5,
GR,Transition,10,2,U,TORA,5,
GR,Transition,10,2,U,OSRE,5,
GR,Transition,10,2,U,DEAD,10,
GR,Transition,10,2,U,BARE,20,
GR,Transition,10,2,U,WATER,45,
GR,Transition,10,3,U,OSRE,55,
GR,Transition,10,3,U,WOVI,15,
GR,Transition,10,3,U,CLJA,25,
GR,Transition,10,3,U,DEAD,5,
GR,Transition,10,4,U,CLJA,40,
GR,Transition,10,4,U,WOVI,20,
GR,Transition,10,4,U,TORA,10,
GR,Transition,10,4,U,DEAD,20,
GR,Transition,10,4,U,BARE,10,
GR,Transition,10,5,U,OSRE,10,
GR,Transition,10,5,U,CLJA,40,
GR,Transition,10,5,U,DEAD,20,
GR,Transition,10,5,U,TORA,5,
GR,Transition,10,5,U,BARE,20,
GR,Transition,10,5,U,WATER,5,
GR,Forest,4,2,O,PITA,5,
GR,Forest,4,2,O,MYCE,40,
GR,Forest,4,2,U,CLJA,40, 
GR,Forest,4,2,O,ACRU,5,
GR,Forest,4,2,O,PEPA,5,
GR,Forest,4,2,U,ANDR 1,20,
GR,Forest,4,2,U,OSRE,5,
GR,Forest,4,2,U,ILGA,5,
GR,Forest,4,2,U,ANVI,5,
GR,Forest,4,2,U,ARGI,5,
GR,Forest,4,3,O,MYCE,20,
GR,Forest,4,3,O,PEPA,15,
GR,Forest,4,3,U,TORA,20,
GR,Forest,4,3,U,CLJA,90, 
GR,Forest,4,3,U,ARGI,5,
GR,Forest,4,4,O,PEPA,20,
GR,Forest,4,4,O,ACRU,5,
GR,Forest,4,4,U,ARGI,10,
GR,Forest,4,4,U,TORA,20,
GR,Forest,4,4,U,SMIL,5,
GR,Forest,4,4,U,ANGL,5,
GR,Forest,4,5,U,ANDR 1,35,
GR,Forest,4,5,U,JURO,40,
GR,Forest,4,5,U,TORA,5,
GR,Forest,4,5,U,ACRU,5,
GR,Forest,4,5,U,OSRE,5,
GR,Forest,4,5,U,ARGI,5,
GR,Forest,6,1,O,MYCE,40,
GR,Forest,6,1,O,PEPA,30,
GR,Forest,6,1,U,VACC,20,
GR,Forest,6,1,U,TORA,5,
GR,Forest,6,1,U,WOVI,5,
LS,Marsh,5,1,U,SCAM,5,
LS,Marsh,5,1,U,DISP,20,
LS,Marsh,5,1,U,DEAD,10,
LS,Marsh,5,1,U,WATER,80,
LS,Marsh,5,2,U,SPAL,10,
LS,Marsh,5,2,U,SCAM,5,
LS,Marsh,5,2,U,DISP,10,
LS,Marsh,5,2,U,DEAD,15,
LS,Marsh,5,2,U,WATER,75,
LS,Marsh,5,3,U,SPAL,15,
LS,Marsh,5,3,U,DISP,25,
LS,Marsh,5,3,U,SCAM,15,
LS,Marsh,5,3,U,WATER,60,
LS,Marsh,5,3,U,DEAD,5,
LS,Marsh,5,4,U,SPAL,5,
LS,Marsh,5,4,U,DISP,5,
LS,Marsh,5,4,U,DEAD,5,
LS,Marsh,5,4,U,WATER,95,
LS,Marsh,5,5,U,DISP,15,
LS,Marsh,5,5,U,SCAM,60,
LS,Marsh,5,5,U,DEAD,10,
LS,Marsh,5,5,U,WATER,20,
LS,Marsh,1,1,U,SCAM,10,
LS,Marsh,1,1,U,DEAD,10,
LS,Marsh,1,1,U,WATER,90,
LS,Marsh,1,2,U,SCAM,15,
LS,Marsh,1,2,U,DISP,10,
LS,Marsh,1,2,U,DEAD,10,
LS,Marsh,1,2,U,WATER,85,
LS,Marsh,1,3,U,DEAD,5,
LS,Marsh,1,3,U,WATER,95,
LS,Marsh,1,4,U,SCAM,10,
LS,Marsh,1,4,U,DEAD,15,
LS,Marsh,1,4,U,WATER,85,
LS,Marsh,1,5,U,DEAD,10,
LS,Marsh,1,5,U,WATER,95,
LS,Marsh,2,1,U,SPAL,10,
LS,Marsh,2,1,U,SCAM,20,
LS,Marsh,2,1,U,DISP,20,
LS,Marsh,2,1,U,DEAD,20,
LS,Marsh,2,1,U,WATER,30,
LS,Marsh,2,2,U,DISP,10,
LS,Marsh,2,2,U,DEAD,15,
LS,Marsh,2,2,U,WATER,85,
LS,Marsh,2,3,U,SPPA,5,
LS,Marsh,2,3,U,DISP,5,
LS,Marsh,2,3,U,DEAD,10,
LS,Marsh,2,3,U,WATER,90,
LS,Marsh,2,4,U,SPAL,10,
LS,Marsh,2,4,U,DISP,5,
LS,Marsh,2,4,U,DEAD,15,
LS,Marsh,2,4,U,WATER,70,
LS,Marsh,2,5,U,SPAL,5,
LS,Marsh,2,5,U,SCAM,5,
LS,Marsh,2,5,U,DISP,10,
LS,Marsh,2,5,U,DEAD,30,
LS,Marsh,2,5,U,WATER,50,
LS,Transition,2,1,U,SPPA,5,
LS,Transition,2,1,U,DISP,30,
LS,Transition,2,1,U,SCAM,35,
LS,Transition,2,1,U,DEAD,5,
LS,Transition,2,1,U,BARE,5,
LS,Transition,2,1,U,WATER,20,
LS,Transition,2,2,U,DISP,15,
LS,Transition,2,2,U,SCAM,35,
LS,Transition,2,2,U,WATER,60,
LS,Transition,2,3,U,RUSP,5,Rush sp.
LS,Transition,2,3,U,BAHA,10,
LS,Transition,2,3,U,SCAM,10,
LS,Transition,2,3,U,DISP,20,
LS,Transition,2,3,U,BARE,15,
LS,Transition,2,3,U,DEAD,10,
LS,Transition,2,3,U,WATER,20,
LS,Transition,2,3,U,TORA,5,
LS,Transition,2,4,U,SCAM,4,
LS,Transition,2,4,U,UNKN HERB,5,
LS,Transition,2,4,U,DISP,35,
LS,Transition,2,4,U,BARE,10,
LS,Transition,2,4,U,DEAD,10,
LS,Transition,2,4,U,WATER,40,
LS,Transition,2,5,U,SCAM,5,
LS,Transition,2,5,U,DISP,15,
LS,Transition,2,5,U,SPPA,5,
LS,Transition,2,5,U,DEAD,10,
LS,Transition,2,5,U,WATER,75,
LS,Forest,5,1,U,GRASS,5,
LS,Forest,5,1,U,CLJA,10,
LS,Forest,5,1,U,DEAD,35,
LS,Forest,5,1,U,TYPHA,5,
LS,Forest,5,1,U,DISP,5,
LS,Forest,5,1,U,BARE,20,
LS,Forest,5,1,U,WATER,20,
LS,Forest,5,2,U,BAHA,5,
LS,Forest,5,2,U,UNKN WOOD,5,
LS,Forest,5,2,U,TORA,5,
LS,Forest,5,2,U,CLJA,5,
LS,Forest,5,2,U,UNKN GRASS,50,
LS,Forest,5,2,U,BARE,40,
LS,Forest,5,2,U,DEAD,10,
LS,Forest,5,2,U,KOVI,5,
LS,Forest,5,3,U,BAHA,5,
LS,Forest,5,3,U,UNKN GRASS,15,
LS,Forest,5,3,U,DISP,55,
LS,Forest,5,3,U,BARE,5,
LS,Forest,5,3,U,DEAD,10,
LS,Forest,5,3,U,WATER,25,
LS,Forest,5,4,U,TYPHA,5,
LS,Forest,5,4,U,BAHA,5,
LS,Forest,5,4,U,UNKN GRASS,20,
LS,Forest,5,4,U,DISP,40,
LS,Forest,5,4,U,BARE,20,
LS,Forest,5,4,U,DEAD,5,
